Area Code;Area;Continent;Colonne1;Colonne2
2;Afghanistan;Asia;Southern Asia;
3;Albania;Europe;Southern Europe;
4;Algeria;Africa;Northern Africa;
7;Angola;Africa;Sub-Saharan Africa;
8;Antigua and Barbuda;Americas;Latin America and the Caribbean;
9;Argentina;Americas;Latin America and the Caribbean;
1;Armenia;Asia;Western Asia;
10;Australia;Oceania;Australia and New Zealand;
11;Austria;Europe;Western Europe;
52;Azerbaijan;Asia;Western Asia;
12;Bahamas;Americas;Latin America and the Caribbean;
13;Bahrain;Asia;Western Asia;
16;Bangladesh;Asia;Southern Asia;
14;Barbados;Americas;Latin America and the Caribbean;
57;Belarus;Europe;Eastern Europe;
255;Belgium;Europe;Western Europe;
15;Belgium-Luxembourg;Europe;Western Europe;
23;Belize;Americas;Latin America and the Caribbean;
53;Benin;Africa;Sub-Saharan Africa;
18;Bhutan;Asia;Southern Asia;
19;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;
80;Bosnia and Herzegovina;Europe;Southern Europe;
20;Botswana;Africa;Sub-Saharan Africa;
21;Brazil;Americas;Latin America and the Caribbean;
26;Brunei Darussalam;Asia;South-eastern Asia;
27;Bulgaria;Europe;Eastern Europe;
233;Burkina Faso;Africa;Sub-Saharan Africa;
29;Burundi;Africa;Sub-Saharan Africa;
35;Cabo Verde;Africa;Sub-Saharan Africa;
115;Cambodia;Asia;South-eastern Asia;
32;Cameroon;Africa;Sub-Saharan Africa;
33;Canada;Americas;Northern America;
37;Central African Republic;Africa;Sub-Saharan Africa;
39;Chad;Africa;Sub-Saharan Africa;
40;Chile;Americas;Latin America and the Caribbean;
96;China, Hong Kong SAR;Asia;Eastern Asia;
128;China, Macao SAR;Asia;Eastern Asia;
41;China, mainland;Asia;Eastern Asia;
214;China, Taiwan Province of;Asia;Eastern Asia;
44;Colombia;Americas;Latin America and the Caribbean;
45;Comoros;Africa;Sub-Saharan Africa;
46;Congo;Africa;Sub-Saharan Africa;
47;Cook Islands;Oceania;Polynesia;
48;Costa Rica;Americas;Latin America and the Caribbean;
98;Croatia;Europe;Southern Europe;
